route_id,start_location,stop_1,stop_2,stop_3,end_location,vehicle_type,travel_date,depart_time,manager_name
DEMO-001,Shimla,Khanna,Rajpura,"Danone Nutricia India Plant, Lalru",Patiala,4W,2026-10-12,07:30,
DEMO-002,Solan,Khanna,Patiala,,"Chandigarh City Center, Zirakpur",4W,2026-12-20,,
DEMO-003,Kakinara,Kalyani North,Jagaddal,,"Manipal Hospital, Kalyani",4W,2026-10-12,16:30,
DEMO-004,Zirakpur,Pinjore,,,Patiala,4W,2026-10-12,,
DEMO-005,Banur,Dera Bassi,,,Panchkula,4W,2026-07-22,07:30,
DEMO-006,Kalyani North,Naihati,Chakdah,,Barrackpore,4W,2026-08-05,10:15,
DEMO-007,Lalru,Mohali,"SBP Housing Park Society, Derabassi",,Ludhiana,4W,2026-07-22,,
DEMO-008,Dera Bassi,,,,Zirakpur,4W,2026-03-10,09:00,
DEMO-009,Kalyani North,,,,Barrackpore,4W,2026-03-10,09:00,
DEMO-010,"Unknown Warehouse, Nowhere District",Lalru,"Paras Downtown, Zirakpur",,Sirhind,4W,2026-01-15,16:30,
DEMO-011,Rajpura,"SBP Housing Park Society, Derabassi","Chandigarh City Center, Zirakpur",,Ambala,4W,2026-07-22,07:30,
DEMO-012,Barrackpore,Kalyani Junction,,,Ranaghat,4W,2026-01-15,,
DEMO-013,Kalka,Ludhiana,,,Patiala,4W,2026-01-15,10:15,
DEMO-014,Patiala,Chandigarh,,,Lalru,2W,2026-01-15,16:30,
DEMO-015,Pyraganda,,,,Kalyani Junction,2W,2026-10-12,16:30,
DEMO-016,"Chandigarh City Center, Zirakpur",Rajpura,Kalka,"Danone Nutricia India Plant, Lalru",Khanna,4W,2026-07-22,,
DEMO-017,Rajpura,Ambala,,,Rajpura,2W,2026-12-20,16:30,
DEMO-018,Chakdah,Pyraganda,Shyamnagar,Madanpur,Ranaghat,4W,2026-03-10,14:00,
DEMO-019,"Paras Downtown, Zirakpur",,,,Shimla,4W,2026-08-05,,
DEMO-020,Banur,Zirakpur,Solan,,"Danone Nutricia India Plant, Lalru",4W,2026-07-22,07:30,
DEMO-021,Jagaddal,Ranaghat,Shyamnagar,Kakinara,"Manipal Hospital, Kalyani",2W,2026-08-05,09:00,
DEMO-022,Pinjore,Panchkula,Chandigarh,,"Paras Downtown, Zirakpur",4W,2026-08-05,,
